CustomerID,The Number of accesses
1,2
2,10
3,8
4,3
5,6
6,4
7,4
8,5
9,2
10,3
11,8
12,5
13,5
14,6
15,9
16,1
17,3
18,4
19,4
20,1
21,1
22,3
23,6
24,1
25,5
26,9
27,6
28,9
29,8
30,3
31,4
32,2
33,3
34,1
35,3
36,9
37,8
38,4
39,4
40,5
41,4
42,4
43,7
44,7
45,4
46,1
47,8
48,3
49,7
50,5
51,8
52,9
53,10
54,10
55,10
56,1
57,5
58,4
59,10
60,9
61,3
62,1
63,3
64,5
65,3
66,9
67,1
68,7
69,2
70,4
71,2
72,1
73,1
74,5
75,1
76,10
77,9
78,6
79,3
80,5
81,3
82,2
83,4
84,2
85,8
86,6
87,1
88,8
89,8
90,8
91,1
92,6
93,7
94,8
95,4
96,9
97,7
98,3
99,7
100,7
101,4
102,8
103,5
104,2
105,2
106,9
107,3
108,4
109,1
110,1
111,9
112,1
113,9
114,3
115,6
116,6
117,1
118,2
119,7
120,4
121,8
122,10
123,5
124,5
125,5
126,9
127,1
128,4
129,4
130,3
131,2
132,2
133,2
134,8
135,10
136,5
137,4
138,6
139,9
140,10
141,6
142,9
143,9
144,7
145,7
146,8
147,2
148,2
149,4
150,8
151,1
152,4
153,2
154,3
155,2
156,10
157,1
158,6
159,3
160,5
161,9
162,8
163,3
164,7
165,1
166,2
167,7
168,7
169,6
170,8
171,7
172,7
173,7
174,6
175,9
176,4
177,9
178,5
179,8
180,7
181,6
182,1
183,1
184,2
185,8
186,3
187,4
188,5
189,5
190,6
191,2
192,8
193,8
194,6
195,3
196,6
197,4
198,3
199,6
200,8
201,7
202,5
203,3
204,9
205,8
206,10
207,2
208,3
209,2
210,9
211,8
212,10
213,3
214,5
215,2
216,2
217,5
218,7
219,2
220,5
221,9
222,10
223,2
224,1
225,10
226,10
227,1
228,8
229,6
230,4
231,2
232,10
233,4
234,4
235,7
236,4
237,1
238,2
239,6
240,10
241,2
242,7
243,7
244,2
245,10
246,6
247,9
248,3
249,3
250,3
251,7
252,3
253,1
254,7
255,5
256,1
257,6
258,8
259,4
260,4
261,4
262,2
263,4
264,7
265,9
266,9
267,9
268,3
269,4
270,2
271,4
272,6
273,10
274,7
275,3
276,10
277,8
278,10
279,4
280,7
281,6
282,4
283,4
284,4
285,4
286,9
287,3
288,6
289,9
290,3
291,4
292,8
293,8
294,4
295,6
296,10
297,10
298,2
299,9
300,6
301,7
302,7
303,8
304,2
305,8
306,5
307,5
308,3
309,1
310,2
311,3
312,7
313,10
314,5
315,5
316,4
317,9
318,8
319,7
320,4
321,6
322,9
323,3
324,1
325,2
326,10
327,2
328,1
329,2
330,4
331,6
332,1
333,4
334,3
335,8
336,4
337,8
338,4
339,6
340,10
341,1
342,10
343,1
344,10
345,7
346,7
347,8
348,6
349,8
350,7
351,1
352,8
353,1
354,8
355,7
356,10
357,10
358,2
359,4
360,6
361,8
362,5
363,6
364,6
365,10
366,6
367,3
368,9
369,5
370,4
371,5
372,8
373,5
374,8
375,9
376,8
377,8
378,10
379,2
380,9
381,6
382,3
383,5
384,3
385,4
386,3
387,7
388,3
389,2
390,1
391,5
392,8
393,8
394,10
395,3
396,8
397,7
398,6
399,2
